doi,title,authors,introduction,contribution
10.1007/978-3-031-52090-7_12,"Urban Digital Twins for Synthetic Data of Individuals with Mobility Aids in Curitiba, Brazil, to Drive Highly Accurate AI Models for Inclusivity",Luna-Romero S.F.,"This article delves into the significance of urban digital twins in generating synthetic data specifically tailored for individuals with disabilities. It explores how this data can be effectively utilized to construct artificial intelligence (AI) models that promote inclusivity and enhance accessibility in urban environments. The article thoroughly examines the challenges and opportunities associated with acquiring data on individuals with disabilities, taking into account the ethical and practical implications of generating and utilizing synthetic data for the development of accessible and inclusive technologies. Using the city of Curitiba, Brazil as a case study, which has undergone scanning, digitization, and transformation into an urban digital twin, avatars have been strategically placed to enable the detection of individuals with disabilities within diverse scenarios and perspectives in urban environments. Consequently, this approach provides a diverse and realistic representation of the situations in which individuals with disabilities may find themselves in urban settings, contributing to advancements in urban planning and technology by emphasizing the importance of digital twins in generating synthetic data to promote inclusivity and accessibility for individuals with disabilities.","This article delves into the significance of urban digital twins in generating synthetic data specifically tailored for individuals with disabilities. It explores how this data can be effectively utilized to construct artificial intelligence (AI) models that promote inclusivity and enhance accessibility in urban environments. The article thoroughly examines the challenges and opportunities associated with acquiring data on individuals with disabilities, taking into account the ethical and practical implications of generating and utilizing synthetic data for the development of accessible and inclusive technologies. Using the city of Curitiba, Brazil as a case study, which has undergone scanning, digitization, and transformation into an urban digital twin, avatars have been strategically placed to enable the detection of individuals with disabilities within diverse scenarios and perspectives in urban environments. Consequently, this approach provides a diverse and realistic representation of the situations in which individuals with disabilities may find themselves in urban settings, contributing to advancements in urban planning and technology by emphasizing the importance of digital twins in generating synthetic data to promote inclusivity and accessibility for individuals with disabilities."
10.1007/978-981-99-8126-7_32,Generating Spatiotemporal Trajectories with GANs and Conditional GANs,Zhao K.,"Modeling the movements of individual and populations, and generating synthetic spatiotemporal trajectory data play an important role in lots of (privacy-aware) analysis and applications, such as urban planning and route navigation. A key challenge in trajectory generation is to best capture the basic characteristics of the long sequences of location points. This is non-trivial considering the inherent sequentiality and high-dimensionality of trajectory data.","This paper presents TS-TrajGAN, a two-stage model to generate spatiotemporal trajectory data by combining a Generative Adversarial Network (GAN) and a conditional GAN. We train the GAN of stage I to simulate the distribution of the initial trajectory segments such that the basic characteristics of the length-limited initial trajectory segments can be well depicted. In stage II, the conditional GAN is used to predict the next location point for the current generated trajectory and preserve the variability in individuals’ mobility. In addition, a predictor network is added to the GAN of stage I for trajectory length prediction. Experiments on a real-world taxi dataset demonstrate that TS-TrajGAN is not only able to generate trajectories that have similar characteristics with the real ones, but also outperforms the state-of-the-art methods in terms of data utility. Our code is available at https://github.com/kfZhao726/TS-TrajGAN."
10.1038/s41598-023-49343-3,Prediction of transportation index for urban patterns in small and medium-sized Indian cities using hybrid RidgeGAN model,Thottolil R.,"The rapid urbanization trend in most developing countries including India is creating a plethora of civic concerns such as loss of green space, degradation of environmental health, scarcity of clean water, rise in air pollution, and exacerbated traffic congestion resulting in significant delays in vehicular transportation. To address the intricate nature of transportation issues, many researchers and planners have analyzed the complexities of urban and regional road systems using transportation models by employing transportation indices such as road length, network density, accessibility, and connectivity metrics.","This study addresses the complexities of predicting road network density for small and medium-sized Indian cities that come under the Integrated Development of Small and Medium Towns (IDSMT) project at a national level. A hybrid framework based on Kernel Ridge Regression (KRR) and the CityGAN model is introduced to predict network density using spatial indicators of human settlements. The major goal of this study is to generate hyper-realistic urban patterns of small and medium-sized Indian cities using an unsupervised CityGAN model and to study the causal relationship between human settlement indices (HSIs) and transportation index (network density) using supervised KRR for the real cities. The synthetic urban universes mimic Indian urban patterns and evaluating their landscape structures through the settlement indices can aid in comprehending urban landscape, thereby enhancing sustainable urban planning. We analyzed 503 real cities to find the actual relationship between the urban settlements and their road density. The nonlinear KRR model may help urban planners in deriving the network density for GAN-generated futuristic urban patterns through the settlement indicators. The proposed hybrid process, termed as RidgeGAN model, can gauge the sustainability of urban sprawl tied to infrastructure and transportation systems in sprawling cities. Analysis results clearly demonstrate the utility of RidgeGAN in predicting network density for different kinds of human settlements, particularly for small and medium Indian cities. By predicting future urban patterns, this study can help in the creation of more livable and sustainable areas, particularly by improving transportation infrastructure in developing cities."
10.1145/3577190.3614119,ViFi-Loc: Multi-modal Pedestrian Localization using GAN with Camera-Phone Correspondences,Liu H.,"In Smart City and Vehicle-to-Everything (V2X) systems, acquiring pedestrians' accurate locations is crucial to traffic and pedestrian safety. Current systems adopt cameras and wireless sensors to estimate people's locations via sensor fusion. Standard fusion algorithms, however, become inapplicable when multi-modal data is not associated. For example, pedestrians are out of the camera field of view, or data from the camera modality is missing.","To address this challenge and produce more accurate location estimations for pedestrians, we propose a localization solution based on a Generative Adversarial Network (GAN) architecture. During training, it learns the underlying linkage between pedestrians' camera-phone data correspondences. During inference, it generates refined position estimations based only on pedestrians' phone data that consists of GPS, IMU, and FTM. Results show that our GAN produces 3D coordinates at 1 to 2 meters localization error across 5 different outdoor scenes. We further show that the proposed model supports self-learning. The generated coordinates can be associated with pedestrians' bounding box coordinates to obtain additional camera-phone data correspondences. This allows automatic data collection during inference. Results show that after fine-tuning the GAN model on the expanded dataset, localization accuracy is further improved by up to 26%."
10.1109/TKDE.2023.3243177,Top-k Community Similarity Search Over Large-Scale Road Networks,Rai N.,"With the urbanization and development of infrastructure, the community search over road networks has become increasingly important in many real applications such as urban/city planning, social study on local communities, and community recommendations by real estate agencies.","In this article, we propose a novel problem, namely top-k community similarity search (Top-kCS2) over road networks, which efficiently and effectively obtains k spatial communities that are the most similar to a given query community in road-network graphs. In order to efficiently and effectively tackle the Top-kCS2 problem, in this paper, we will design an effective similarity measure between spatial communities, and propose a framework for retrieving Top-kCS2 query answers, which integrates offline pre-processing and online computation phases. Moreover, we also consider a variant, namely continuous top-k community similarity search (CTop-kCS2), where the query community continuously moves along a query line segment. We develop an efficient algorithm to split query line segment into intervals, incrementally obtain similar candidate communities for each interval, and refine actual CTop-kCS2 query answers. Extensive experiments have been conducted on real and synthetic data sets to confirm the efficiency and effectiveness of our proposed Top-kCS2 and CTop-kCS2 approaches under various parameter settings."
10.1145/3580305.3599888,Practical Synthetic Human Trajectories Generation Based on Variational Point Processes,Long Q.,"Human trajectories, reflecting people's travel patterns and the range of activities, are crucial for the applications like urban planning and epidemic control. However, the real-world human trajectory data tends to be limited by user privacy or device acquisition issues, leading to its insufficient quality to support the above applications. Hence, generating human trajectory data is a crucial but challenging task, which suffers from the following two critical challenges: 1) how to capture the user distribution in human trajectories (group view), and 2) how to model the complex mobility patterns of each user trajectory (individual view).","In this paper, we propose a novel human trajectories generator (named VOLUNTEER), consisting of a user VAE and a trajectory VAE, to address the above challenges. Specifically, in the user VAE, we propose to learn the user distribution with all human trajectories from a group view. In the trajectory VAE, from the individual view, we model the complex mobility patterns by decoupling travel time and dwell time to accurately simulate individual trajectories. Extensive experiments on two real-world datasets show the superiority of our model over the state-of-the-art baselines. Further application analysis in the industrial system also demonstrates the effectiveness of our model."
10.3390/ijgi12080338,Profiling Public Transit Passenger Mobility Using Adversarial Learning,Li Y.,"It is important to capture passengers’ public transit behavior and their mobility to create profiles, which are critical for analyzing human activities, understanding the social and economic structure of cities, improving public transportation, assisting urban planning, and promoting smart cities.","In this paper, we develop a generative adversarial machine learning network to characterize the temporal and spatial mobility behavior of public transit passengers, based on massive smart card data and road network data. The Apriori algorithm is extended with spatio-temporal constraints to extract frequent transit mobility patterns of individual passengers based on a reconstructed personal trip dataset. This individual-level pattern information is used to construct personalized feature vectors. For regular and frequent public transit passengers, we identify similar transit mobility groups using spatio-temporal constraints to construct a group feature vector. We develop a generative adversarial network to embed public transit mobility of passengers. The proposed model’s generator consists of an auto-encoder, which extracts a low-dimensional and compact representation of passenger behavior, and a pre-trained sub-generator containing generalization features of public transit passengers. Shenzhen City is taken as the study area in this paper, and experiments were carried out based on smart card data, road network data, and bus GPS data. Clustering analysis of embedding vector representation and estimation of the top K transit destinations were conducted, verifying that the proposed method can profile passenger transit mobility in a comprehensive and compact manner."
10.52842/conf.caadria.2023.1.019,PREDICTING AMENITIES DISTRIBUTIONS FOR WORKERS FROM THE BUILT ENVIRONMENT BASED ON MACHINE LEARNING,Wan H.,The working population has increased in cities with urbanization. Providing a supportive built environment with reasonable amenities distribution for them is becoming more important. Previous GIS-based approaches to urban planning for this issue tend to be subjective with high labour costs.,"This paper uses the generative adversarial network (GAN) to explore the relationship between amenities distributions and urban morphology, thus effectively predicting and visualizing the ideal amenities distributions in fastgrowing cities based on the condition of well-developed megacities. In this research, we take Shanghai, one of the global cities in China with a big labour market, as the research sample. First, we use the Point of Interest (POI) data to draw the heatmap of urban amenities that support workers’ daily life and collect the corresponding city maps. Then, we cut them into hundreds of image pairs as the training set and train a GAN model for predicting the future amenities distributions in other cities. To implement the model, we further collect the city maps of Jiaxing, one of the second-tier cities near Shanghai, as the testing set. Results show that our trained model can accurately predict amenities distributions for its future. The GAN-based prediction could effectively support detailed urban planning."
10.1109/HPCC-DSS-SmartCity-DependSys60770.2023.00135,Two-Stage Trajectory Generation Model for Realistic Human Mobility Simulation,Gong H.,Human mobility data is crucial for understanding mobility patterns and provides valuable insights for fields like urban planning and tourism recommendation.,"To address limitations in trajectory generation methods that treat all points equally, this study proposes a two-stage trajectory simulation model that generates separate sequences for stopping points and moving points. By differentiating between these two types of points, the model can effectively capture mobility intentions and moving paths. The stopping point sequence generator utilizes a GAN-based approach to capture mobility intentions and patterns, while the moving point generator constructs a weighted directed road network graph to determine efficient paths between stopping points. Extensive experiments using a real-life mobility dataset demonstrate the effectiveness of the proposed model in generating realistic trajectories. Moreover, when used for next location prediction task, the synthetic trajectory data generated by our model produces results that closely resemble real-world situations."
10.1109/IEEECONF59510.2023.10335348,'Sons al Balcó': Empowering Citizens in Assessing Urban Soundscapes and Quiet Zones,Alsina-Pages R.M.,"""Sons al Balcó""emerged as a citizen science initiative amidst the constraints of lockdown and has since evolved into a powerful platform dedicated to engaging individuals in the evaluation of urban soundscapes and the advocacy for tranquil zones in residential areas. The project revolves around the creation of an intuitive web interface that empowers citizens to upload brief video clips capturing their local environments. Accompanying these visuals are subjective questionnaires designed to evaluate the impact of sound and noise on their daily lives. The platform harnesses the capabilities of advanced audio analysis techniques to automatically identify and distinguish positive and negative acoustic occurrences in urban settings. This enables the precise identification of noteworthy sound events, offering invaluable insights into the dynamics of urban soundscapes. Furthermore, through state-of-the-art computer vision algorithms, the platform identifies and categorizes predefined objects within the videos, such as plant life, traffic signals, individuals, and vehicles. This methodology enables a comprehensive assessment of the urban environment, bridging the gap between objective detection and the subjective perceptions of citizens. By amalgamating both audio and visual data, ""Sons al Balcó""nurtures a holistic understanding of the impact of noise on the well-being of citizens. It empowers individuals to voice their concerns and actively participate in the identification of quiet zones that prioritize health and enhance the quality of life. Beyond its data generation aspect, this citizen science endeavor facilitates direct collaboration between researchers and the local community in each city where it is implemented. Through ""Sons al Balcó,""citizens are positioned as key actors in the transformation of their urban surroundings and in influencing decisions pertaining to urban planning and noise-related policies.","""Sons al Balcó""emerged as a citizen science initiative amidst the constraints of lockdown and has since evolved into a powerful platform dedicated to engaging individuals in the evaluation of urban soundscapes and the advocacy for tranquil zones in residential areas. The project revolves around the creation of an intuitive web interface that empowers citizens to upload brief video clips capturing their local environments. Accompanying these visuals are subjective questionnaires designed to evaluate the impact of sound and noise on their daily lives. The platform harnesses the capabilities of advanced audio analysis techniques to automatically identify and distinguish positive and negative acoustic occurrences in urban settings. This enables the precise identification of noteworthy sound events, offering invaluable insights into the dynamics of urban soundscapes. Furthermore, through state-of-the-art computer vision algorithms, the platform identifies and categorizes predefined objects within the videos, such as plant life, traffic signals, individuals, and vehicles. This methodology enables a comprehensive assessment of the urban environment, bridging the gap between objective detection and the subjective perceptions of citizens. By amalgamating both audio and visual data, ""Sons al Balcó""nurtures a holistic understanding of the impact of noise on the well-being of citizens. It empowers individuals to voice their concerns and actively participate in the identification of quiet zones that prioritize health and enhance the quality of life. Beyond its data generation aspect, this citizen science endeavor facilitates direct collaboration between researchers and the local community in each city where it is implemented. Through ""Sons al Balcó,""citizens are positioned as key actors in the transformation of their urban surroundings and in influencing decisions pertaining to urban planning and noise-related policies."
10.1109/MDM58254.2023.00032,CSGAN: Modality-Aware Trajectory Generation via Clustering-based Sequence GAN,Zhang M.,"Human mobility data is useful for various applications in urban planning, transportation, and public health, but collecting and sharing real-world trajectories can be challenging due to privacy and data quality issues. To address these problems, recent research focuses on generating synthetic trajectories, mainly using generative adversarial networks (GANs) trained by real-world trajectories.","In this paper, we hypothesize that by explicitly capturing the modality of transportation (e.g., walking, biking, driving), we can generate not only more diverse and representative trajectories for different modalities but also more realistic trajectories that preserve the geographical density, trajectory, and transition level properties by capturing both cross-modality and modality-specific patterns. Towards this end, we propose a Clustering-based Sequence Generative Adversarial Network (CSGAN)1 that simultaneously clusters the trajectories based on their modalities and learns the essential properties of real-world trajectories to generate realistic and representative synthetic trajectories. To measure the effectiveness of generated trajectories, in addition to typical density and trajectory level statistics, we define several new metrics for a comprehensive evaluation, including modality distribution and transition probabilities both globally and within each modality. Our extensive experiments with real-world datasets show the superiority of our model in various metrics over state-of-the-art models."
10.1109/ACCESS.2023.3260981,GANs for Privacy-Aware Mobility Modeling,Fontana I.,"Human mobility modeling is crucial for many facets of our society, including disease transmission modeling and urban planning. The explosion of mobility data prompted the application of deep learning to human mobility. Along with the growth of research interest, there is also increasing privacy concern.","This study first examines the cutting-edge approaches for trajectory generation, classification, and next-location prediction. Second, we propose a novel privacy-aware approach for predicting next-week trajectories. The approach is based on two modules, a Generative Adversarial Network used for generating synthetic trajectories and a deep learning model for user identification which safeguards privacy. These two modules are combined with a next-week trajectory predictor that uses privacy-aware synthetic data. The experiments on two real-life datasets show that the generator creates trajectories similar to the real ones yet different enough to safeguard privacy. The low user-recognition recognition accuracy of models trained on the generated data demonstrates privacy awareness. Statistical tests confirm no significant difference between the original and the generated trajectories. We further demonstrate the utility of the synthetic data by predicting week-ahead trajectories based on the synthetic trajectories. Our study shows how privacy and utility can be managed jointly using the proposed privacy-aware approach."
10.1016/j.compenvurbsys.2022.101852,Generative population synthesis for joint household and individual characteristics,Aemmer Z.,"Household surveys provide immense value in the fields of transportation and urban planning. However, even the most well-funded surveying agencies rely on sampling methods to estimate the nature of the true population, and the collected microdata is frequently aggregated, or limited in volume and detail to protect the privacy of respondents. Population synthesis provides a means to scale this microdata to represent larger regions for use in microsimulation. Despite their accuracy and widespread adoption, traditional synthesis algorithms for reweighting microdata samples scale poorly with the number of variables and geographic regions being modeled, and can suffer from non-convergence with smaller sample sizes. Several generative models have been proposed to address these shortcomings, but lack features such as sub-region modeling, and the ability to simultaneously generate both individuals and households.","This work proposes an extension to recent generative approaches capable of generating synthetic populations consisting of both individual and household-level variables, that uses a two-part Variational Autoencoder (VAE) and Conditional-VAE (CVAE) to learn a distribution of latent variables in the general population, and use them to generate new samples. This can help in synthesizing smaller, traditionally under-sampled groups. This approach is benchmarked against a state of the art open source population synthesizer. In addition, the VAE/CVAE model is tested under increasingly minimal training data. Findings indicate the VAE/CVAE model creates more accurate populations, using less time than the traditional synthesizer under small to medium dimensional datasets (4–16 variables). The VAE/CVAE also performs well with few (n = 100) training samples, with diminishing returns for additional training samples."
10.1109/TBDATA.2020.3014511,Off-Deployment Traffic Estimation-A Traffic Generative Adversarial Networks Approach,Zhang Y.,"The rapid progress of urbanization has expedited the process of urban planning, e.g., new residential, commercial areas, which in turn boosts the local travel demand.","We propose a novel 'off-deployment traffic estimation problem', namely, to foresee the traffic condition changes of a region prior to the deployment of a construction plan. This problem is important to city planners to evaluate and develop urban deployment plans. However, this task is challenging. Traditional traffic estimation approaches lack the ability to solve this problem, since no data about the impact can be collected before the deployment and old data fails to capture the traffic pattern changes. In this paper, we define the off-deployment traffic estimation problem as a traffic generation problem, and develop a novel deep generative model TrafficGAN that captures the shared patterns across spatial regions of how traffic conditions evolve according to travel demand changes and underlying road network structures. In particular, TrafficGAN captures the road network structures through a dynamic filter in the dynamic convolutional layer. We evaluate our TrafficGAN using a large-scale traffic data collected from Shenzhen, China. Results show that TrafficGAN can more accurately estimate the traffic conditions compared with all baselines. We also showcase that TrafficGAN can identify potential traffic issues in some regions and suggest possible reasons."
10.3390/computation10030035,A Video Analytics System for Person Detection Combined with Edge Computing,Maltezos E.,"Ensuring citizens' safety and security has been identified as the number one priority for city authorities when it comes to the use of smart city technologies. Automatic understanding of the scene, and the associated provision of situational awareness for emergency situations, are able to efficiently contribute to such domains.","In this study, a Video Analytics Edge Computing (VAEC) system is presented that performs real-time enhanced situation awareness for person detection in a video surveillance manner that is also able to share geolocated person detection alerts and other accompanied crucial information. The VAEC system adopts state-of-the-art object detection and tracking algorithms, and it is integrated with the proposed Distribute Edge Computing Internet of Things (DECIoT) platform. The aforementioned alerts and information are able to be shared, though the DECIoT, to smart city platforms utilizing proper middleware. To verify the utility and functionality of the VAEC system, extended experiments were performed (i) in several light conditions, (ii) using several camera sensors, and (iii) in several use cases, such as installed in fixed position of a building or mounted to a car. The results highlight the potential of VAEC system to be exploited by decision-makers or city authorities, providing enhanced situational awareness."
10.1007/978-3-031-19647-8_15,Preliminary Study for Impact of Social Media Networks on Traffic Prediction,Laynes Fiascunari V.,"While smart cities have the required infrastructure for traffic prediction, underdeveloped cities lack the budget and technology to perform an accurate model. Current research uses data mining of tweets and specific posts to provide population trends, but there is no work done in social network analysis for the same end.","This paper proposes an applied informatics application with social network usage to aid in the lack of data due to nonexistent traffic sensors. The Twitter API was used to download a network of users that follows traffic updates accounts and then, use a model of information diffusion (independent cascade model) to retrieve a variable that holds a metric of how the information regarding current traffic has traveled through the network. Finally, an updated traffic dataset with the new social network variable is used to train and validate an LSTM neural network to show if the new variable can be a predictor for traffic. Results show that a deterministic independent cascade model ran on a New York City-based 2-tier social network marginally improved the prediction by 0.4%. This proposal can be replicated in other information diffusion models."
10.1145/3474085.3475455,WePerson: Learning a Generalized Re-identification Model from All-weather Virtual Data,Li H.,"The aim of person re-identification (Re-ID) is retrieving a person of interest across multiple non-overlapping cameras. Re-ID has gained significantly increased advancement in recent years. However, real data annotation is costly and model generalization ability is hindered by the lack of large-scale and diverse data.","To address this problem, we propose a Weather Person pipeline that can generate a synthesized Re-ID dataset with different weather, scenes, and natural lighting conditions automatically. The pipeline is built on the top of a game engine which contains a digital city, weather and lighting simulation system, and various character models with manifold dressing. To train a generalizable Re-ID model from the large-scale virtual WePerson dataset, we design an adaptive sample selection strategy to close the domain gap and avoid redundancy. We also design an informative sampling method for a mini-batch sampler to accelerate the learning process. In addition, an efficient training method is introduced by adopting instance normalization to capture identity invariant components from various appearances. We evaluate our pipeline using direct transfer on 3 widely-used real-world benchmarks, achieving competitive performance without any real-world image training. This dataset starts the attempt to evaluate diverse environmental factors in a controllable virtual engine, which provides important guidance for future generalizable Re-ID model design. Notably, we improve the current state-of-the-art accuracy from 38.5% to 46.4% on the challenging MSMT17 dataset. Dataset and code are available at https://github.com/lihe404/WePerson https://github.com/lihe404/WePerson."
10.1089/env.2021.0034,"Climate Adaptation as a Racial Project: An Analysis of Color-Blind Flood Resilience Efforts in Austin, Texas",Zoll D.,"As awareness of climate change increases, U.S. cities are beginning to implement climate mitigation and adaptation initiatives to reduce population vulnerabilities to climate risks.","This study contributes to a growing literature that quantitatively describes the relationships between sociodemographic variables and climate adaptation interventions in U.S. cities. Ordinary linear and simultaneous autoregressive models are used to evaluate early flood adaptation actions in Austin, Texas, to assess relationships between flood risk, green infrastructure, and measures of race and income. Findings of unequal exposure to flood risk and uneven access to flood resilience initiatives contribute to our understanding of color-blind urban planning responses to climate change and their potential to amplify inequitable protection from climate risks."
10.1109/ICCWorkshops50388.2021.9473900,GAN Based Noise Generation to Aid Activity Recognition when Augmenting Measured WiFi Radar Data with Simulations,Vishwakarma S.,"This work considers the use of a passive WiFi radar (PWR) to monitor human activities. Real-time uncooperative monitoring of people has numerous applications ranging from smart cities and transport to IoT and security. In e-healthcare, PWR technology could be used for ambient assisted living and early detection of chronic health conditions. Large training datasets could drive forward machine-learning-focused research in the above applications. However, generating and labeling large volumes of high-quality, diverse radar datasets is an onerous task. Therefore, we present an open-source motion capture data-driven simulation tool, SimHumalator, that can generate large volumes of human micro-Doppler radar data at multiple IEEE WiFi standards(IEEE 802.11g, n, and ad). We qualitatively compare the micro-Doppler signatures generated through SimHumalator with the measured signatures. To create a more realistic training dataset, we artificially add noise to our clean simulated spectrograms. A noise distribution is directly learned from real radar measurements using a Generative Adversarial Network (GAN). We observe improvements in the classification performances between 3 to 8%. Our results suggest that simulation data can be used to make adequate training data when the available measurement training support is low.","This work considers the use of a passive WiFi radar (PWR) to monitor human activities. Real-time uncooperative monitoring of people has numerous applications ranging from smart cities and transport to IoT and security. In e-healthcare, PWR technology could be used for ambient assisted living and early detection of chronic health conditions. Large training datasets could drive forward machine-learning-focused research in the above applications. However, generating and labeling large volumes of high-quality, diverse radar datasets is an onerous task. Therefore, we present an open-source motion capture data-driven simulation tool, SimHumalator, that can generate large volumes of human micro-Doppler radar data at multiple IEEE WiFi standards(IEEE 802.11g, n, and ad). We qualitatively compare the micro-Doppler signatures generated through SimHumalator with the measured signatures. To create a more realistic training dataset, we artificially add noise to our clean simulated spectrograms. A noise distribution is directly learned from real radar measurements using a Generative Adversarial Network (GAN). We observe improvements in the classification performances between 3 to 8%. Our results suggest that simulation data can be used to make adequate training data when the available measurement training support is low."
10.1109/JIOT.2020.3021763,Cascading Scene and Viewpoint Feature Learning for Pedestrian Gender Recognition,Cai L.,Pedestrian gender recognition plays an important role in smart city.,"To effectively improve the pedestrian gender recognition performance, a new method, called cascading scene and viewpoint feature learning (CSVFL), is proposed in this article. The novelty of the proposed CSVFL lies on the joint consideration of two crucial challenges in pedestrian gender recognition, namely, scene and viewpoint variation. For that, the proposed CSVFL starts with the scene transfer (ST) scheme, followed by the viewpoint adaptation (VA) scheme in a cascading manner. Specifically, the ST scheme exploits the key pedestrian segmentation network to extract the key pedestrian masks for the subsequent key pedestrian transfer generative adversarial network, with the goal of encouraging the input pedestrian image to have the similar style to the target scene while preserving the image details of the key pedestrian as much as possible. Afterward, the obtained scene-transferred pedestrian images are fed to train the deep feature learning network with the VA scheme, in which each neuron will be enabled/disabled for different viewpoints depending on whether it has contribution on the corresponding viewpoint. Extensive experiments conducted on the commonly used pedestrian attribute data sets have demonstrated that the proposed CSVFL approach outperforms multiple recently reported pedestrian gender recognition methods."
10.1016/j.procs.2021.03.035,"STS-EPR: Modelling individual mobility considering the spatial, temporal, and social dimensions together",Cornacchia G.,"Modelling human mobility is crucial in several scientific areas, from urban planning to epidemic modeling, traffic forecasting, and what-if analysis. On the one hand, existing models focus on the spatial and temporal dimensions of mobility only, while the social dimension is often neglected. On other hand, models that embed a social mechanism have trivial or unrealistic spatial and temporal mechanisms.","We propose STS-EPR, a mechanistic model that captures the spatial, temporal, and social dimensions of human mobility together. Our results show that STS-EPR generates realistic trajectories, making it better than models that lack either in the social, the spatial, or the temporal mechanisms. STS-EPR is a step towards the design of mechanistic models that can capture all the aspects of human mobility in a comprehensive way."
10.1109/ACCESS.2021.3053704,Unsupervised domain adaptation in activity recognition: A gan-based approach,Sanabria A.R.,"Sensor-based human activity recognition (HAR) is having a significant impact in a wide range of applications in smart city, smart home, and personal healthcare. Such wide deployment of HAR systems often faces the annotation-scarcity challenge; that is, most of the HAR techniques, especially the deep learning techniques, require a large number of training data while annotating sensor data is very time- and effort-consuming. Unsupervised domain adaptation has been successfully applied to tackle this challenge, where the activity knowledge from a well-annotated domain can be transferred to a new, unlabelled domain. However, these existing techniques do not perform well on highly heterogeneous domains.","This article proposes shift-GAN that integrate bidirectional generative adversarial networks (Bi-GAN) and kernel mean matching (KMM) in an innovative way to learn intrinsic, robust feature transfer between two heterogeneous domains. Bi-GAN consists of two GANs that are bound by a cyclic constraint, which enables more effective feature transfer than a classic, single GAN model. KMM is a powerful non-parametric technique to correct covariate shift, which further improves feature space alignment. Through a series of comprehensive, empirical evaluations, shift-GAN has not only achieved its superior performance over 10 state-of-the-art domain adaptation techniques but also demonstrated its effectiveness in learning activity-independent, intrinsic feature mappings between two domains, robustness to sensor noise, and less sensitivity to training data."
